subject,activity,variable,mean
1,LAYING,fBodyGyro_MeanFreq-X,-0.003546795855999998
1,LAYING,fBodyGyro_MeanFreq-Y,-0.091529130882
1,LAYING,fBodyGyro_MeanFreq-Z,0.010458125660000005
1,LAYING,fBodyGyro_Stdv-X,-0.8822964508
1,LAYING,fBodyGyro_Stdv-Y,-0.9512320494
1,LAYING,fBodyGyro_Stdv-Z,-0.9165825082
1,LAYING,tBodyAccl_JerkMagMean,-0.9543962646
1,LAYING,tBodyAccl_JerkMagStdv,-0.9282456284
1,LAYING,tBodyAccl_JerkMean-X,0.0810865342
1,LAYING,tBodyAccl_JerkMean-Y,0.0038382040088000002
1,LAYING,tBodyAccl_JerkMean-Z,0.010834236361
1,LAYING,tBodyAccl_JerkStdv-X,-0.958482112
1,LAYING,tBodyAccl_JerkStdv-Y,-0.9241492736
1,LAYING,tBodyAccl_JerkStdv-Z,-0.9548551108
1,LAYING,tBodyAccl_MagMean,-0.8419291525
1,LAYING,tBodyAccl_MagStdv,-0.79514486386
1,LAYING,tBodyAccl_Mean-X,0.22159824394
1,LAYING,tBodyAccl_Mean-Y,-0.0405139534294
1,LAYING,tBodyAccl_Mean-Z,-0.11320355358
1,LAYING,tBodyAccl_Stdv-X,-0.9280564692
1,LAYING,tBodyAccl_Stdv-Y,-0.83682740562
1,LAYING,tBodyAccl_Stdv-Z,-0.826061401628
1,LAYING,tBodyGyro_JerkMagMean,-0.96346103
1,LAYING,tBodyGyro_JerkMagStdv,-0.9358409827999999
1,LAYING,tBodyGyro_JerkMean-X,-0.107270949192
1,LAYING,tBodyGyro_JerkMean-Y,-0.04151728689
1,LAYING,tBodyGyro_JerkMean-Z,-0.0740501211
1,LAYING,tBodyGyro_JerkStdv-X,-0.9186085208
1,LAYING,tBodyGyro_JerkStdv-Y,-0.9679072436
1,LAYING,tBodyGyro_JerkStdv-Z,-0.9577901596
1,LAYING,tBodyGyro_MagMean,-0.874759548
1,LAYING,tBodyGyro_MagStdv,-0.81901016976
1,LAYING,tBodyGyro_Mean-X,-0.016553093978
1,LAYING,tBodyGyro_Mean-Y,-0.064486124088
1,LAYING,tBodyGyro_Mean-Z,0.14868943626
1,LAYING,tBodyGyro_Stdv-X,-0.87354386782
1,LAYING,tBodyGyro_Stdv-Y,-0.9510904402
1,LAYING,tBodyGyro_Stdv-Z,-0.9082846626
1,LAYING,tGravAccl_MagMean,-0.8419291525
1,LAYING,tGravAccl_MagStdv,-0.79514486386
1,LAYING,tGravAccl_Mean-X,-0.24888179828
1,LAYING,tGravAccl_Mean-Y,0.70554977346
1,LAYING,tGravAccl_Mean-Z,0.4458177198
1,LAYING,tGravAccl_Stdv-X,-0.8968300184
1,LAYING,tGravAccl_Stdv-Y,-0.90772000676
1,LAYING,tGravAccl_Stdv-Z,-0.85236629022
1,SITTING,fBodyAccl_JerkMagMean,-0.9852621268085107
1,SITTING,fBodyAccl_JerkMagMeanFreq,0.3518522019574468
1,SITTING,fBodyAccl_JerkMagStdv,-0.9816061774468084
1,SITTING,fBodyAccl_JerkMean-X,-0.9865970225531915
1,SITTING,fBodyAccl_JerkMean-Y,-0.9815794670212766
1,SITTING,fBodyAccl_JerkMean-Z,-0.9860530923404255
1,SITTING,fBodyAccl_JerkMeanFreq-X,0.2566108235680851
1,SITTING,fBodyAccl_JerkMeanFreq-Y,0.047543783959574475
1,SITTING,fBodyAccl_JerkMeanFreq-Z,0.09239200325531916
1,SITTING,fBodyAccl_JerkStdv-X,-0.9874929944680851
1,SITTING,fBodyAccl_JerkStdv-Y,-0.982513909574468
1,SITTING,fBodyAccl_JerkStdv-Z,-0.988339184893617
1,SITTING,fBodyAccl_MagMean,-0.9477829225531915
1,SITTING,fBodyAccl_MagMeanFreq,0.23665501168085107
1,SITTING,fBodyAccl_MagStdv,-0.9284448017021276
1,SITTING,fBodyAccl_Mean-X,-0.9796412387234043
1,SITTING,fBodyAccl_Mean-Y,-0.944084550425532
1,SITTING,fBodyAccl_Mean-Z,-0.9591848891489362
1,SITTING,fBodyAccl_MeanFreq-X,-0.04951359754893617
1,SITTING,fBodyAccl_MeanFreq-Y,0.07594607685106383
1,SITTING,fBodyAccl_MeanFreq-Z,0.23882987014893617
1,SITTING,fBodyAccl_Stdv-X,-0.9764123131914894
1,SITTING,fBodyAccl_Stdv-Y,-0.9172750063829788
1,SITTING,fBodyAccl_Stdv-Z,-0.9344695580851063
1,SITTING,fBodyGyro_JerkMagMean,-0.9897975472340426
1,SITTING,fBodyGyro_JerkMagMeanFreq,0.18477592808510637
1,SITTING,fBodyGyro_JerkMagStdv,-0.9870496172340426
1,SITTING,fBodyGyro_MagMean,-0.9584355893617021
1,SITTING,fBodyGyro_MagMeanFreq,-2.6218671702127723e-4
1,SITTING,fBodyGyro_MagStdv,-0.932198374893617
1,SITTING,fBodyGyro_Mean-X,-0.9761614640425532
1,SITTING,fBodyGyro_Mean-Y,-0.9758385853191489
1,SITTING,fBodyGyro_Mean-Z,-0.9513155444680851
1,SITTING,fBodyGyro_MeanFreq-X,0.18915302126085107
1,SITTING,fBodyGyro_MeanFreq-Y,0.0631270669787234
1,SITTING,fBodyGyro_MeanFreq-Z,-0.02978392074468085
1,SITTING,fBodyGyro_Stdv-X,-0.9779042270212766
1,SITTING,fBodyGyro_Stdv-Y,-0.9623450425531915
1,SITTING,fBodyGyro_Stdv-Z,-0.9439178410638298
1,SITTING,tBodyAccl_JerkMagMean,-0.9873641955319149
1,SITTING,tBodyAccl_JerkMagStdv,-0.9841200240425532
1,SITTING,tBodyAccl_JerkMean-X,0.0774825199574468
1,SITTING,tBodyAccl_JerkMean-Y,-6.191027851063836e-4
1,SITTING,tBodyAccl_JerkMean-Z,-0.0033677923502127664
1,SITTING,tBodyAccl_JerkStdv-X,-0.9864307112765958
1,SITTING,tBodyAccl_JerkStdv-Y,-0.9813719653191489
1,SITTING,tBodyAccl_JerkStdv-Z,-0.9879108044680851
1,SITTING,tBodyAccl_MagMean,-0.9485367861702128
1,SITTING,tBodyAccl_MagStdv,-0.9270784187234042
1,SITTING,tBodyAccl_Mean-X,0.2612375654255319
1,SITTING,tBodyAccl_Mean-Y,-0.001308287651702128
1,SITTING,tBodyAccl_Mean-Z,-0.10454418225531915
1,SITTING,tBodyAccl_Stdv-X,-0.9772290082978723
1,SITTING,tBodyAccl_Stdv-Y,-0.9226186419148936
1,SITTING,tBodyAccl_Stdv-Z,-0.9395862910638297
1,SITTING,tBodyGyro_JerkMagMean,-0.9919763412765957
1,SITTING,tBodyGyro_JerkMagStdv,-0.9883087285106383
1,SITTING,tBodyGyro_JerkMean-X,-0.09367938072340426
1,SITTING,tBodyGyro_JerkMean-Y,-0.040211812425531915
1,SITTING,tBodyGyro_JerkMean-Z,-0.046702627
1,SITTING,tBodyGyro_JerkStdv-X,-0.9917315921276596
1,SITTING,tBodyGyro_JerkStdv-Y,-0.9895180685106383
1,SITTING,tBodyGyro_JerkStdv-Z,-0.9879358063829787
1,SITTING,tBodyGyro_MagMean,-0.93089249
1,SITTING,tBodyGyro_MagStdv,-0.934531840425532
1,SITTING,tBodyGyro_Mean-X,-0.04535005651276596
1,SITTING,tBodyGyro_Mean-Y,-0.0919241549361702
1,SITTING,tBodyGyro_Mean-Z,0.06293138119148936
1,SITTING,tBodyGyro_Stdv-X,-0.9772112831914893
1,SITTING,tBodyGyro_Stdv-Y,-0.966473895319149
1,SITTING,tBodyGyro_Stdv-Z,-0.9414259208510638
1,SITTING,tGravAccl_MagMean,-0.9485367861702128
1,SITTING,tGravAccl_MagStdv,-0.9270784187234042
1,SITTING,tGravAccl_Mean-X,0.8315099334042553
1,SITTING,tGravAccl_Mean-Y,0.20441159268085107
1,SITTING,tGravAccl_Mean-Z,0.33204370276595746
1,SITTING,tGravAccl_Stdv-X,-0.9684571457446809
1,SITTING,tGravAccl_Stdv-Y,-0.9355170559574468
1,SITTING,tGravAccl_Stdv-Z,-0.9490409331914894
1,STANDING,fBodyAccl_JerkMagMean,-0.9925424775471698
1,STANDING,fBodyAccl_JerkMagMeanFreq,0.42222010226415096
1,STANDING,fBodyAccl_JerkMagStdv,-0.9925360033962264
1,STANDING,fBodyAccl_JerkMean-X,-0.9946307973584906
1,STANDING,fBodyAccl_JerkMean-Y,-0.9854187045283019
1,STANDING,fBodyAccl_JerkMean-Z,-0.9907521660377359
1,STANDING,fBodyAccl_JerkMeanFreq-X,0.3141829401509434
1,STANDING,fBodyAccl_JerkMeanFreq-Y,0.03916189549433963
1,STANDING,fBodyAccl_JerkMeanFreq-Z,0.1385814787490566
1,STANDING,fBodyAccl_JerkStdv-X,-0.9950737592452831
1,STANDING,fBodyAccl_JerkStdv-Y,-0.9870182267924529
1,STANDING,fBodyAccl_JerkStdv-Z,-0.9923498181132075
1,STANDING,fBodyAccl_MagMean,-0.9853563611320755
1,STANDING,fBodyAccl_MagMeanFreq,0.28455529077358493
1,STANDING,fBodyAccl_MagStdv,-0.9823138047169812
1,STANDING,fBodyAccl_Mean-X,-0.9952499326415094
1,STANDING,fBodyAccl_Mean-Y,-0.9770708477358491
1,STANDING,fBodyAccl_Mean-Z,-0.9852970986792453
1,STANDING,fBodyAccl_MeanFreq-X,0.08651536190886792
1,STANDING,fBodyAccl_MeanFreq-Y,0.11747894871886792
1,STANDING,fBodyAccl_MeanFreq-Z,0.24485858579245282
1,STANDING,fBodyAccl_Stdv-X,-0.9960283450943396
1,STANDING,fBodyAccl_Stdv-Y,-0.9722931020754717
1,STANDING,fBodyAccl_Stdv-Z,-0.9779372596226416
1,STANDING,fBodyGyro_JerkMagMean,-0.9948153769811321
1,STANDING,fBodyGyro_JerkMagMeanFreq,0.3344987343018868
1,STANDING,fBodyGyro_JerkMagStdv,-0.9946711232075471
1,STANDING,fBodyGyro_MagMean,-0.9846176233962264
1,STANDING,fBodyGyro_MagMeanFreq,-0.028605772532830188
1,STANDING,fBodyGyro_MagStdv,-0.9784660720754716
1,STANDING,fBodyGyro_Mean-X,-0.9863867860377359
1,STANDING,fBodyGyro_Mean-Y,-0.9889844558490566
1,STANDING,fBodyGyro_Mean-Z,-0.9807731228301887
1,STANDING,fBodyGyro_MeanFreq-X,-0.12029302060377359
1,STANDING,fBodyGyro_MeanFreq-Y,-0.04471919781698113
1,STANDING,fBodyGyro_MeanFreq-Z,0.10060763513962265
1,STANDING,fBodyGyro_Stdv-X,-0.9874971286792453
1,STANDING,fBodyGyro_Stdv-Y,-0.9871077277358491
1,STANDING,fBodyGyro_Stdv-Z,-0.98234533
1,STANDING,tBodyAccl_JerkMagMean,-0.9923677905660377
1,STANDING,tBodyAccl_JerkMagStdv,-0.9930962094339623
1,STANDING,tBodyAccl_JerkMean-X,0.0753766542264151
1,STANDING,tBodyAccl_JerkMean-Y,0.007975730928301887
1,STANDING,tBodyAccl_JerkMean-Z,-0.0036852495470943397
1,STANDING,tBodyAccl_JerkStdv-X,-0.994604542264151
1,STANDING,tBodyAccl_JerkStdv-Y,-0.9856487324528302
1,STANDING,tBodyAccl_JerkStdv-Z,-0.9922511773584906
1,STANDING,tBodyAccl_MagMean,-0.9842782073584906
1,STANDING,tBodyAccl_MagStdv,-0.9819429288679246
1,STANDING,tBodyAccl_Mean-X,0.2789176290566038
1,STANDING,tBodyAccl_Mean-Y,-0.016137590103773584
1,STANDING,tBodyAccl_Mean-Z,-0.11060181773584905
1,STANDING,tBodyAccl_Stdv-X,-0.9957599015094339
1,STANDING,tBodyAccl_Stdv-Y,-0.9731900564150944
1,STANDING,tBodyAccl_Stdv-Z,-0.9797758769811321
1,STANDING,tBodyGyro_JerkMagMean,-0.9949667905660378
1,STANDING,tBodyGyro_JerkMagStdv,-0.9947332386792452
1,STANDING,tBodyGyro_JerkMean-X,-0.09960921290566038
1,STANDING,tBodyGyro_JerkMean-Y,-0.04406278779245283
1,STANDING,tBodyGyro_JerkMean-Z,-0.04895054667169811
1,STANDING,tBodyGyro_JerkStdv-X,-0.992945106981132
1,STANDING,tBodyGyro_JerkStdv-Y,-0.9951379173584906
1,STANDING,tBodyGyro_JerkStdv-Z,-0.9921084671698113
1,STANDING,tBodyGyro_MagMean,-0.9764937928301887
1,STANDING,tBodyGyro_MagStdv,-0.9786900286792453
1,STANDING,tBodyGyro_Mean-X,-0.02398773479792453
1,STANDING,tBodyGyro_Mean-Y,-0.05939722098113208
1,STANDING,tBodyGyro_Mean-Z,0.074800751
1,STANDING,tBodyGyro_Stdv-X,-0.9871919466037736
1,STANDING,tBodyGyro_Stdv-Y,-0.98773444
1,STANDING,tBodyGyro_Stdv-Z,-0.9806456269811321
1,STANDING,tGravAccl_MagMean,-0.9842782073584906
1,STANDING,tGravAccl_MagStdv,-0.9819429288679246
1,STANDING,tGravAccl_Mean-X,0.9429520003773585
1,STANDING,tGravAccl_Mean-Y,-0.27298383226415096
1,STANDING,tGravAccl_Mean-Z,0.01349058232264151
1,STANDING,tGravAccl_Stdv-X,-0.9937629850943396
1,STANDING,tGravAccl_Stdv-Y,-0.9812259579245283
1,STANDING,tGravAccl_Stdv-Z,-0.9763240635849056
1,WALKING,fBodyAccl_JerkMagMean,-0.05711940003431579
1,WALKING,fBodyAccl_JerkMagMeanFreq,0.09382218070273685
1,WALKING,fBodyAccl_JerkMagStdv,-0.10349240300210526
1,WALKING,fBodyAccl_JerkMean-X,-0.17054696454957893
1,WALKING,fBodyAccl_JerkMean-Y,-0.03522552411306316
1,WALKING,fBodyAccl_JerkMean-Z,-0.46899922463157895
1,WALKING,fBodyAccl_JerkMeanFreq-X,-0.2092619733768421
1,WALKING,fBodyAccl_JerkMeanFreq-Y,-0.3862371432105263
1,WALKING,fBodyAccl_JerkMeanFreq-Z,-0.18553028124421053
1,WALKING,fBodyAccl_JerkStdv-X,-0.13358660632631578
1,WALKING,fBodyAccl_JerkStdv-Y,0.106739857136
1,WALKING,fBodyAccl_JerkStdv-Z,-0.5347134404210526
1,WALKING,fBodyAccl_MagMean,-0.1286234506294737
1,WALKING,fBodyAccl_MagMeanFreq,0.1906437244
1,WALKING,fBodyAccl_MagStdv,-0.39803258684210524
1,WALKING,fBodyAccl_Mean-X,-0.2027943063263158
1,WALKING,fBodyAccl_Mean-Y,0.08971272640210526
1,WALKING,fBodyAccl_Mean-Z,-0.3315601177894737
1,WALKING,fBodyAccl_MeanFreq-X,-0.20754837449473684
1,WALKING,fBodyAccl_MeanFreq-Y,0.11309364610315789
1,WALKING,fBodyAccl_MeanFreq-Z,0.04972651961726316
1,WALKING,fBodyAccl_Stdv-X,-0.31913471957894735
1,WALKING,fBodyAccl_Stdv-Y,0.056040006846
1,WALKING,fBodyAccl_Stdv-Z,-0.2796867514947368
1,WALKING,fBodyGyro_JerkMagMean,-0.3193085937789474
1,WALKING,fBodyGyro_JerkMagMeanFreq,0.19066344879368421
1,WALKING,fBodyGyro_JerkMagStdv,-0.38160191178947367
1,WALKING,fBodyGyro_MagMean,-0.1992525689863158
1,WALKING,fBodyGyro_MagMeanFreq,0.26884436752589475
1,WALKING,fBodyGyro_MagStdv,-0.32101795389473686
1,WALKING,fBodyGyro_Mean-X,-0.33903219711578947
1,WALKING,fBodyGyro_Mean-Y,-0.10305941643473684
1,WALKING,fBodyGyro_Mean-Z,-0.25594094031578946
1,WALKING,fBodyGyro_MeanFreq-X,0.014784498662105263
1,WALKING,fBodyGyro_MeanFreq-Y,-0.06577461900105264
1,WALKING,fBodyGyro_MeanFreq-Z,7.733215643157902e-4
1,WALKING,fBodyGyro_Stdv-X,-0.5166919387368422
1,WALKING,fBodyGyro_Stdv-Y,-0.03350815978842105
1,WALKING,fBodyGyro_Stdv-Z,-0.43656222747368423
1,WALKING,tBodyAccl_JerkMagMean,-0.14142880903157895
1,WALKING,tBodyAccl_JerkMagStdv,-0.07447175006252632
1,WALKING,tBodyAccl_JerkMean-X,0.07404163331578947
1,WALKING,tBodyAccl_JerkMean-Y,0.02827210958842105
1,WALKING,tBodyAccl_JerkMean-Z,-0.004168406177894738
1,WALKING,tBodyAccl_JerkStdv-X,-0.11361560243578947
1,WALKING,tBodyAccl_JerkStdv-Y,0.06700250076842106
1,WALKING,tBodyAccl_JerkStdv-Z,-0.5026997885263158
1,WALKING,tBodyAccl_MagMean,-0.1369711765568421
1,WALKING,tBodyAccl_MagStdv,-0.21968864563157894
1,WALKING,tBodyAccl_Mean-X,0.2773307587368421
1,WALKING,tBodyAccl_Mean-Y,-0.017383818527368422
1,WALKING,tBodyAccl_Mean-Z,-0.11114810354736843
1,WALKING,tBodyAccl_Stdv-X,-0.28374025884210524
1,WALKING,tBodyAccl_Stdv-Y,0.11446133674736843
1,WALKING,tBodyAccl_Stdv-Z,-0.2600279022105263
1,WALKING,tBodyGyro_JerkMagMean,-0.2987036790842105
1,WALKING,tBodyGyro_JerkMagStdv,-0.3253248788947368
1,WALKING,tBodyGyro_JerkMean-X,-0.08999754237052632
1,WALKING,tBodyGyro_JerkMean-Y,-0.03984287094631579
1,WALKING,tBodyGyro_JerkMean-Z,-0.04613092950210526
1,WALKING,tBodyGyro_JerkStdv-X,-0.20742185475789474
1,WALKING,tBodyGyro_JerkStdv-Y,-0.3044685106315789
1,WALKING,tBodyGyro_JerkStdv-Z,-0.40425545263157897
1,WALKING,tBodyGyro_MagMean,-0.1609795525368421
1,WALKING,tBodyGyro_MagStdv,-0.18697836452631578
1,WALKING,tBodyGyro_Mean-X,-0.041830963526
1,WALKING,tBodyGyro_Mean-Y,-0.06953004621157895
1,WALKING,tBodyGyro_Mean-Z,0.08494481730421052
1,WALKING,tBodyGyro_Stdv-X,-0.4735354858947368
1,WALKING,tBodyGyro_Stdv-Y,-0.054607768659473685
1,WALKING,tBodyGyro_Stdv-Z,-0.3442666294736842
1,WALKING,tGravAccl_MagMean,-0.1369711765568421
1,WALKING,tGravAccl_MagStdv,-0.21968864563157894
1,WALKING,tGravAccl_Mean-X,0.9352232014736842
1,WALKING,tGravAccl_Mean-Y,-0.2821650212631579
1,WALKING,tGravAccl_Mean-Z,-0.068102864
1,WALKING,tGravAccl_Stdv-X,-0.9766096425263158
1,WALKING,tGravAccl_Stdv-Y,-0.9713059614736842
1,WALKING,tGravAccl_Stdv-Z,-0.9477172261052632
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMagMean,0.026218494932653064
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMagMeanFreq,0.07649154743265306
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMagStdv,-0.10405226072653061
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMean-X,-0.0276638676122449
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMean-Y,-0.1286671576489796
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMean-Z,-0.2883347357142857
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMeanFreq-X,-0.25316434491836737
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMeanFreq-Y,-0.3375897012244898
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkMeanFreq-Z,0.009372238891836734
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkStdv-X,-0.08632789664020409
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkStdv-Y,-0.13458000887755103
1,WALKING_DOWNSTAIRS,fBodyAccl_JerkStdv-Z,-0.4017214642857143
1,WALKING_DOWNSTAIRS,fBodyAccl_MagMean,0.09658453430408163
1,WALKING_DOWNSTAIRS,fBodyAccl_MagMeanFreq,0.11918714276795918
1,WALKING_DOWNSTAIRS,fBodyAccl_MagStdv,-0.18653030107346938
1,WALKING_DOWNSTAIRS,fBodyAccl_Mean-X,0.038229183151020404
1,WALKING_DOWNSTAIRS,fBodyAccl_Mean-Y,0.0015499078359183687
1,WALKING_DOWNSTAIRS,fBodyAccl_Mean-Z,-0.22557447169387754
1,WALKING_DOWNSTAIRS,fBodyAccl_MeanFreq-X,-0.3073951986877551
1,WALKING_DOWNSTAIRS,fBodyAccl_MeanFreq-Y,0.06322008393469387
1,WALKING_DOWNSTAIRS,fBodyAccl_MeanFreq-Z,0.29432270081061224
1,WALKING_DOWNSTAIRS,fBodyAccl_Stdv-X,0.024330839138775512
1,WALKING_DOWNSTAIRS,fBodyAccl_Stdv-Y,-0.11296373995306122
1,WALKING_DOWNSTAIRS,fBodyAccl_Stdv-Z,-0.29792789469387754
1,WALKING_DOWNSTAIRS,fBodyGyro_JerkMagMean,-0.281963359177551
1,WALKING_DOWNSTAIRS,fBodyGyro_JerkMagMeanFreq,0.19000070616510203
1,WALKING_DOWNSTAIRS,fBodyGyro_JerkMagStdv,-0.3919198766122449
1,WALKING_DOWNSTAIRS,fBodyGyro_MagMean,-0.18572028574489796
1,WALKING_DOWNSTAIRS,fBodyGyro_MagMeanFreq,0.34961389546938776
1,WALKING_DOWNSTAIRS,fBodyGyro_MagStdv,-0.398350390122449
1,WALKING_DOWNSTAIRS,fBodyGyro_Mean-X,-0.3524496313632653
1,WALKING_DOWNSTAIRS,fBodyGyro_Mean-Y,-0.05570225246938775
1,WALKING_DOWNSTAIRS,fBodyGyro_Mean-Z,-0.03186942719795918
1,WALKING_DOWNSTAIRS,fBodyGyro_MeanFreq-X,-0.10045372904081633
1,WALKING_DOWNSTAIRS,fBodyGyro_MeanFreq-Y,0.08255114871836734
1,WALKING_DOWNSTAIRS,fBodyGyro_MeanFreq-Z,-0.07567620677142857
1,WALKING_DOWNSTAIRS,fBodyGyro_Stdv-X,-0.4954224861020408
1,WALKING_DOWNSTAIRS,fBodyGyro_Stdv-Y,-0.18141472865714287
1,WALKING_DOWNSTAIRS,fBodyGyro_Stdv-Z,-0.23844356530612246
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkMagMean,-0.08944748079795918
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkMagStdv,-0.025787719708163265
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkMean-X,0.05415531648979592
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkMean-Y,0.02965044904081633
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkMean-Z,-0.010971973018367347
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkStdv-X,-0.012283860544897959
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkStdv-Y,-0.10160139064081633
1,WALKING_DOWNSTAIRS,tBodyAccl_JerkStdv-Z,-0.34573503232653063
1,WALKING_DOWNSTAIRS,tBodyAccl_MagMean,0.027188291410612245
1,WALKING_DOWNSTAIRS,tBodyAccl_MagStdv,0.01988435062653061
1,WALKING_DOWNSTAIRS,tBodyAccl_Mean-X,0.2891883204081633
1,WALKING_DOWNSTAIRS,tBodyAccl_Mean-Y,-0.009918504610204082
1,WALKING_DOWNSTAIRS,tBodyAccl_Mean-Z,-0.10756619090816326
1,WALKING_DOWNSTAIRS,tBodyAccl_Stdv-X,0.030035338348387754
1,WALKING_DOWNSTAIRS,tBodyAccl_Stdv-Y,-0.03193594344897959
1,WALKING_DOWNSTAIRS,tBodyAccl_Stdv-Z,-0.23043421320408164
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkMagMean,-0.29546384334693876
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkMagStdv,-0.30651064553061225
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkMean-X,-0.07395920362714285
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkMean-Y,-0.043990278336734696
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkMean-Z,-0.027046106106122448
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkStdv-X,-0.48702734224489796
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkStdv-Y,-0.23882482753061224
1,WALKING_DOWNSTAIRS,tBodyGyro_JerkStdv-Z,-0.2687614802428571
1,WALKING_DOWNSTAIRS,tBodyGyro_MagMean,-0.07574125436734694
1,WALKING_DOWNSTAIRS,tBodyGyro_MagStdv,-0.22572436806122448
1,WALKING_DOWNSTAIRS,tBodyGyro_Mean-X,-0.03507819029897959
1,WALKING_DOWNSTAIRS,tBodyGyro_Mean-Y,-0.09093712902040817
1,WALKING_DOWNSTAIRS,tBodyGyro_Mean-Z,0.09008501420306123
1,WALKING_DOWNSTAIRS,tBodyGyro_Stdv-X,-0.4580305429387755
1,WALKING_DOWNSTAIRS,tBodyGyro_Stdv-Y,-0.1263491949387755
1,WALKING_DOWNSTAIRS,tBodyGyro_Stdv-Z,-0.12470245424285714
1,WALKING_DOWNSTAIRS,tGravAccl_MagMean,0.027188291410612245
1,WALKING_DOWNSTAIRS,tGravAccl_MagStdv,0.01988435062653061
1,WALKING_DOWNSTAIRS,tGravAccl_Mean-X,0.9318744189795918
1,WALKING_DOWNSTAIRS,tGravAccl_Mean-Y,-0.26661033897959185
1,WALKING_DOWNSTAIRS,tGravAccl_Mean-Z,-0.06211995859387755
1,WALKING_DOWNSTAIRS,tGravAccl_Stdv-X,-0.950559811632653
1,WALKING_DOWNSTAIRS,tGravAccl_Stdv-Y,-0.9370186589795918
1,WALKING_DOWNSTAIRS,tGravAccl_Stdv-Z,-0.8959396951020409
1,WALKING_UPSTAIRS,fBodyAccl_JerkMagMean,-0.4426521624528302
1,WALKING_UPSTAIRS,fBodyAccl_JerkMagMeanFreq,0.08535240915471698
1,WALKING_UPSTAIRS,fBodyAccl_JerkMagStdv,-0.5330598537735849
1,WALKING_UPSTAIRS,fBodyAccl_JerkMean-X,-0.47987524566037737
1,WALKING_UPSTAIRS,fBodyAccl_JerkMean-Y,-0.41344458754716984
1,WALKING_UPSTAIRS,fBodyAccl_JerkMean-Z,-0.6854743539622642
1,WALKING_UPSTAIRS,fBodyAccl_JerkMeanFreq-X,-0.3770231283018868
